아암,823707,2021-12-20 24:00,126.6324,37.4052,0.003,0.4,2,0.023,55,22
주안,823637,2021-12-20 24:00,126.6926,37.4556,0.003,0.7,2,0.047,63,40
서석동,324115,2021-12-20 24:00,126.9233,35.1458,0.002,0.6,2,0.027,42,20
농성동,324121,2021-12-20 24:00,126.8885,35.1549,0.002,1.0,2,0.056,37,28
두암동,324133,2021-12-20 24:00,126.9322,35.1739,0.003,0.9,2,0.057,47,27
건국동,324135,2021-12-20 24:00,126.8603,35.2293,0.002,0.4,2,0.024,55,38
오선동,324142,2021-12-20 24:00,126.8078,35.2044,0.004,0.8,2,0.027,62,41
주월동,324155,2021-12-20 24:00,126.8933,35.1319,0.003,1.0,2,0.057,50,28
노대동,324124,2021-12-20 24:00,126.8961,35.099,0.002,0.5,2,0.013,33,19
평동,324148,2021-12-20 24:00,126.7696,35.1238,0.004,0.6,2,0.042,87,-
일곡동,324136,2021-12-20 24:00,126.8924,35.2181,0.003,0.7,2,0.039,42,28
유촌동,324125,2021-12-20 24:00,126.8442,35.1619,0.004,0.7,2,0.049,70,37
읍내동,525111,2021-12-20 24:00,127.4172,36.3728,0.005,0.9,2,0.056,48,23
문평동,525112,2021-12-20 24:00,127.4047,36.4469,0.003,0.5,2,0.047,67,35
문창동,525121,2021-12-20 24:00,127.4378,36.3161,0.005,0.6,2,0.018,36,17
구성동,525141,2021-12-20 24:00,127.3739,36.3724,0.003,0.5,2,0.013,57,14
노은동,525142,2021-12-20 24:00,127.3185,36.3682,0.004,0.4,2,0.010,48,23
성남동,525161,2021-12-20 24:00,127.4372,36.3444,0.003,0.9,2,0.051,52,29
정림동,525171,2021-12-20 24:00,127.3667,36.3045,0.003,0.6,2,0.020,57,18
둔산동,525172,2021-12-20 24:00,127.3835,36.3544,0.003,0.6,2,0.024,42,16
대성동,525162,2021-12-20 24:00,127.4601,36.3025,0.005,0.3,2,0.036,48,35
관평동,525144,2021-12-20 24:00,127.3959,36.4252,0.003,0.8,2,0.017,58,25
대송동,238120,2021-12-20 24:00,129.4184,35.5028,0.007,0.7,2,0.029,59,30
성남동,238121,2021-12-20 24:00,129.3205,35.5563,0.003,0.9,2,0.051,52,29
부곡동,238122,2021-12-20 24:00,129.339,35.4973,0.004,0.4,2,0.021,60,31
야음동,238124,2021-12-20 24:00,129.3258,35.5261,0.003,0.8,2,0.062,59,31
삼산동,238125,2021-12-20 24:00,129.3318,35.5444,0.003,0.7,2,0.052,62,31
신정동,238127,2021-12-20 24:00,129.3081,35.5347,0.003,0.7,2,0.040,54,33
덕신리,238128,2021-12-20 24:00,129.3145,35.4348,0.003,0.6,2,0.031,71,48
