년,월,일,시,분,항목,종로구,중구,용산구,은평구,서대문구,마포구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,최대,최소,평균
2001,3,27,,,PM2.5,*0,*0,*0,*0,*0,*0,42,45,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,45,42,44
2001,3,28,,,PM2.5,*0,*0,*0,*0,*0,*0,41,44,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,44,41,43
2001,3,29,,,PM2.5,*0,*0,*0,*0,*0,*0,*33,37,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,37,37,35
2001,3,30,,,PM2.5,*0,*0,*0,*0,*0,*0,*56,42,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,42,42,47
2001,3,31,,,PM2.5,*0,*0,*0,*0,*0,*0,55,51,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,55,51,53
2001,4,1,,,PM2.5,*0,*0,*0,*0,*0,*0,28,35,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,35,28,31
2001,4,2,,,PM2.5,*0,*0,*0,*0,*0,*0,32,39,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,39,32,36
2001,4,3,,,PM2.5,*0,*0,*0,*0,*0,*0,48,50,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,50,48,49
2001,4,4,,,PM2.5,*0,*0,*0,*0,*0,*0,48,52,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,52,48,50
2001,4,5,,,PM2.5,*0,*0,*0,*0,*0,*0,50,48,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,50,48,49
2001,4,6,,,PM2.5,*0,*0,*0,*0,*0,*0,53,58,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,58,53,55
2001,4,7,,,PM2.5,*0,*0,*0,*0,*0,*0,50,54,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,54,50,52
2001,4,8,,,PM2.5,*0,*0,*0,*0,*0,*0,55,57,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,57,55,56
2001,4,9,,,PM2.5,*0,*0,*0,*0,*0,*0,46,52,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,52,46,49
2001,4,10,,,PM2.5,*0,*0,*0,*0,*0,*0,67,85,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,85,67,76
2001,4,11,,,PM2.5,*0,*0,*0,*0,*0,*0,120,133,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,133,120,126
2001,4,12,,,PM2.5,*0,*0,*0,*0,*0,*0,71,79,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,79,71,75
2001,4,13,,,PM2.5,*0,*0,*0,*0,*0,*0,44,55,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,55,44,49
2001,4,14,,,PM2.5,*0,*0,*0,*0,*0,*0,27,36,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,36,27,32
2001,4,15,,,PM2.5,*0,*0,*0,*0,*0,*0,40,50,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,50,40,45
2001,4,16,,,PM2.5,*0,*0,*0,*0,*0,*0,44,61,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,61,44,53
2001,4,17,,,PM2.5,*0,*0,*0,*0,*0,*0,42,54,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,54,42,48
2001,4,18,,,PM2.5,*0,*0,*0,*0,*0,*0,44,65,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,65,44,55
2001,4,19,,,PM2.5,*0,*0,*0,*0,*0,*0,48,64,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,64,48,56
2001,4,20,,,PM2.5,*0,*0,*0,*0,*0,*0,25,40,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,40,25,32
2001,4,21,,,PM2.5,*0,*0,*0,*0,*0,*0,32,49,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,49,32,40
2001,4,22,,,PM2.5,*0,*0,*0,*0,*0,*0,37,50,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,50,37,43
2001,4,23,,,PM2.5,*0,*0,*0,*0,*0,*0,46,65,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,65,46,55
2001,4,24,,,PM2.5,*0,*0,*0,*0,*0,*0,62,79,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,79,62,70
2001,4,25,,,PM2.5,*0,*0,*0,*0,*0,*0,79,94,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,*0,94,79,87
