"STNID","TYPE","longitude","latitude","avg_PM2.5"
"1178A","PM2.5",117.1918,34.2384,41.9370283310652
"1179A","PM2.5",117.192,34.3083,NA
"1180A","PM2.5",117.256,34.2153,42.9402307314678
"1181A","PM2.5",117.244,34.2911,42.7369251304453
"1182A","PM2.5",117.2933,34.2778,43.1617121006538
"1183A","PM2.5",117.166,34.1806,NA
"1184A","PM2.5",119.46,32.3878,NA
"1185A","PM2.5",119.404,32.41,NA
"1186A","PM2.5",119.389,32.3761,34.2653780695356
"1187A","PM2.5",119.439,32.4033,NA
"1188A","PM2.5",120.269,31.4867,25.3342065868263
"1189A","PM2.5",120.275,31.6219,30.5200348432056
"1190A","PM2.5",120.294,31.56,28.5467059980334
"1191A","PM2.5",120.242,31.5031,25.3835854202827
"1192A","PM2.5",120.3489,31.5863,29.6632446134347
"1193A","PM2.5",120.354,31.5475,30.37099430019
"1194A","PM2.5",120.245,31.5631,30.5391188251001
"1195A","PM2.5",120.299,31.6817,30.898527607362
"1196A","PM2.5",119.9633,31.762,33.5135735439289
"1197A","PM2.5",119.933,31.7786,NA
"1198A","PM2.5",119.962,31.8089,NA
"1199A","PM2.5",120.0393,31.7638,NA
"1200A","PM2.5",119.9468,31.7069,37.250213596973
"1201A","PM2.5",119.9255,31.9087,38.6800785083415
"1202A","PM2.5",NA,NA,NA
"1203A","PM2.5",119.6707,32.1875,34.6496116385156
"1204A","PM2.5",119.4974,32.1968,36.4214046822743
"1205A","PM2.5",119.4303,32.1328,39.9232856438086
"1206A","PM2.5",119.905,32.4878,34.3701451793026
"1207A","PM2.5",119.9189,32.4625,34.6696517412935
"1208A","PM2.5",119.882,32.303,NA
"1209A","PM2.5",119.888,32.4639,32.682364483689
"1210A","PM2.5",119.036,33.5981,38.6239731142644
"1211A","PM2.5",119.007,33.575,36.4522316488381
"1212A","PM2.5",118.989,33.6067,35.6958598726115
"1213A","PM2.5",119.135,33.5039,37.744944795931
"1214A","PM2.5",119.0186,33.6297,37.8532435740514
"1215A","PM2.5",120.118,33.4022,31.3819990176817
"1216A","PM2.5",120.156,33.3942,28.7267671774592
"1217A","PM2.5",120.129,33.3719,NA
"1218A","PM2.5",120.2144,33.38,27.8387177560731
"1219A","PM2.5",118.2658,33.96,NA
"1220A","PM2.5",118.293,33.9528,37.3231187445941
"1221A","PM2.5",118.2442,33.9592,36.8187243565834
"1222A","PM2.5",118.3214,33.9506,NA
"1223A","PM2.5",120.2072,30.2111,27.602858538969
"1224A","PM2.5",120.0633,30.2747,26.2742898939412
"1225A","PM2.5",119.026,29.635,13
"1226A","PM2.5",120.3461,30.3153,27.790303030303
"1227A","PM2.5",120.1269,30.2456,27.3274669255978
"1228A","PM2.5",120.1903,30.2692,25.0570137956293
"1229A","PM2.5",120.157,30.2897,36
"1230A","PM2.5",120.1197,30.3119,29.2205003050641
"1231A","PM2.5",120.3019,30.4183,26.5499147796445
"1232A","PM2.5",120.2697,30.1819,30.7284946236559
"1233A","PM2.5",120.0883,30.1808,21.5364691508858
"1234A","PM2.5",121.8358,29.911,18.9914644555542
"1235A","PM2.5",121.56,29.82,22.6862244897959
"1236A","PM2.5",121.713,29.9572,18.8564319482458
"1237A","PM2.5",121.554,29.8906,NA
"1238A","PM2.5",121.615,29.9017,NA
"1239A","PM2.5",121.633,29.7733,20.8015931372549
"1240A","PM2.5",121.5856,29.8635,22.6073349633252
"1241A","PM2.5",121.524,29.8674,19.7052334844957
"1242A","PM2.5",120.634,28.0089,26.6533526991043
"1243A","PM2.5",120.6748,27.9939,26.3019603068306
"1244A","PM2.5",120.76,27.9747,23.2306107610276
"1245A","PM2.5",120.6709,28.0167,23.3748619123604
"1246A","PM2.5",120.598,30.0911,60
"1247A","PM2.5",120.6053,29.9928,27.3292016040831
"1248A","PM2.5",120.576,30.007,NA
"1249A","PM2.5",120.1,30.8867,NA
"1250A","PM2.5",120.0751,30.8669,24.0884461183331
"1251A","PM2.5",120.093,30.8617,NA
"1252A","PM2.5",120.7436,30.778,24.7282926829268
"1253A","PM2.5",120.726,30.7478,26.7293617021277
"1254A","PM2.5",NA,NA,NA
"1255A","PM2.5",121.273,28.6459,19.2077140400442
"1256A","PM2.5",121.419,28.6542,22.7635176000968
"1257A","PM2.5",121.377,28.5773,25.138389083444
"1258A","PM2.5",122.122,30.0203,15.0217205613179
"1259A","PM2.5",122.3094,29.9558,15.2253813300793
"1260A","PM2.5",122.19,29.9944,14.1930272108844
"1261A","PM2.5",119.649,29.1131,NA
"1262A","PM2.5",119.647,29.077,28.8953218517161
"1263A","PM2.5",119.686,29.1029,27.2340346534653
"1264A","PM2.5",118.8692,28.9398,26.2075057877422
"1265A","PM2.5",118.8709,28.9666,23.7911500121566
"1266A","PM2.5",118.8621,28.9808,22.7489392653655
"1267A","PM2.5",119.914,28.4514,21.8281652163255
"1268A","PM2.5",119.93,28.4586,20.0951858622791
"1269A","PM2.5",119.879,28.4231,20.1185933408156
"1270A","PM2.5",117.1959,31.7848,32.4924102184376
"1271A","PM2.5",117.3072,31.8764,33.2177237402858
"1272A","PM2.5",117.2588,31.8707,32.5275938189845
"1273A","PM2.5",117.1604,31.9052,27.8375
"1274A","PM2.5",117.25,31.8571,30.4892486406327
"1275A","PM2.5",117.266,31.9436,32.8034726688103
"1276A","PM2.5",117.336,31.8586,33.9857738533235
"1277A","PM2.5",117.3027,31.7964,35.2607931726908
"1278A","PM2.5",117.2776,31.7385,31.6724268415742
"1279A","PM2.5",117.1318,31.8403,34.1217166111728
"1280A","PM2.5",119.3903,26.0543,15.2368453330063
"1281A","PM2.5",119.414,26.0258,NA
"1282A","PM2.5",119.2681,26.0504,21.8809436048655
"1283A","PM2.5",119.2984,26.1028,18.894942584901
"1284A","PM2.5",119.2648,26.0768,18.9997524446095
"1285A","PM2.5",119.317,26.0746,21.1859906435706
"1286A","PM2.5",118.1608,24.8169,17.0289225422046
"1287A","PM2.5",118.1514,24.4767,21.0788421945016
"1288A","PM2.5",118.0661,24.4444,17.8370145631068
"1290A","PM2.5",115.8931,28.6843,30.805270863836
"1291A","PM2.5",115.8886,28.7003,30.6794618612688
"1292A","PM2.5",115.8126,28.7442,29.7774929818137
"1293A","PM2.5",115.973,28.6969,NA
"1294A","PM2.5",115.8518,28.687,30.7660156735912
"1295A","PM2.5",115.8921,28.6424,26.5887116564417
"1296A","PM2.5",115.7423,28.7996,19.7902621722846
"1297A","PM2.5",115.912,28.6131,NA
"1298A","PM2.5",115.9314,28.6842,32.8628313179431
"1299A","PM2.5",116.9862,36.6114,39.3337867919861
"1300A","PM2.5",116.9376,36.665,38.2666666666667
"1301A","PM2.5",117.1265,36.6734,39.052431237721
"1302A","PM2.5",116.989,36.6872,NA
"1303A","PM2.5",117.0624,36.6868,46.4042526888367
"1304A","PM2.5",116.9489,36.6447,46.8838999358563
"1305A","PM2.5",117.0495,36.663,39.2748826870832
"1306A","PM2.5",116.7675,36.5484,44.3895507570117
"1307A","PM2.5",120.6659,36.2403,28.7977932060501
"1308A","PM2.5",120.3905,36.1851,NA
"1309A","PM2.5",120.3471,36.0699,42
"1310A","PM2.5",120.4134,36.0658,27.8738449691992
"1311A","PM2.5",120.3664,36.1032,33.6021144278607
"1312A","PM2.5",120.2994,36.054,27.0911330049261
"1313A","PM2.5",120.4581,36.0858,27.1121651070376
"1314A","PM2.5",120.1983,35.9608,30.6523710329616
"1315A","PM2.5",120.3999,36.3083,27.4663704800691
"1316A","PM2.5",113.69031,34.76122,44.2903426017875
"1317A","PM2.5",113.65724,34.77134,43.4008097165992
"1318A","PM2.5",113.67526,34.80246,42.5410438617986
"1319A","PM2.5",113.56746,34.81334,42.1278379772962
"1320A","PM2.5",113.7329,34.7178,43.7198677119059
"1321A","PM2.5",113.73961,34.77172,44.6983698982718
"1322A","PM2.5",113.60532,34.74838,46.5327551701134
"1323A","PM2.5",113.64164,34.7525,43.5284415584416
"1324A","PM2.5",113.51488,34.91089,41.8515645203
"1325A","PM2.5",114.3677,30.5584,37.1497797356828
"1326A","PM2.5",114.2529,30.558,33.4841976815131
"1327A","PM2.5",114.282,30.6189,36.2218931260027
"1328A","PM2.5",114.3025,30.5332,35.4967201166181
"1329A","PM2.5",114.3646,30.6217,43.1169991433117
"1330A","PM2.5",114.1566,30.4825,40.4030705495309
"1331A","PM2.5",114.3014,30.5944,36.1981476968072
"1332A","PM2.5",114.3894,30.4822,NA
"1333A","PM2.5",114.135,30.6319,35.7262092534175
"1334A","PM2.5",113.8454,30.2917,26.6956890288205
"1335A","PM2.5",113.0833,28.2325,44.9975372491073
